Rk,Name,Age,PA,Tm,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB,Name-additional
526,René Pinto,26,105,TBR,-1.1,-0.1,106,-0.2,1.7,-1.9,0.88,-0.1,-0.1,-0.30%,0.90%,-1.20%,0.88,-0.20%,-4.1,-0.4,0.92,-3.8,,0,pintore02
527,Jorge Polanco#,29,343,MIN,6.8,0.7,349,1,6.9,-6,1.07,0.6,0.3,0.40%,3.50%,-3.10%,0.9,0.20%,13.8,1.3,0.96,5,2.31,0,polanjo01
528,AJ Pollock,35,144,TOT,-9.9,-1,145,-1,1.7,-2.7,0.96,-1.3,0.3,-0.60%,0.80%,-1.40%,0.8,0.00%,-10,-1,0.97,-11,0.19,12,polloaj01
529,AJ Pollock,35,138,SEA,-8.3,-0.8,139,-0.8,1.7,-2.6,0.96,-1.1,0.3,-0.40%,0.80%,-1.20%,0.76,0.10%,-8.6,-0.9,0.97,-9.3,0.19,12,polloaj01
530,AJ Pollock,35,6,SFG,-1.6,-0.2,6,-0.2,0,-0.2,1.08,-0.2,0,-0.20%,0.00%,-0.20%,1.73,0.00%,-1.4,-0.1,0.82,-1.7,,0,polloaj01
531,Logan Porter,27,38,KCR,-0.8,-0.1,39,-0.1,0.5,-0.6,0.85,0,-0.1,0.00%,0.00%,0.00%,0,,-0.9,-0.1,1.04,-0.3,,0,portelo01
532,Nick Pratto*,24,345,KCR,-7,-0.7,350,-1.1,5.1,-6.2,0.99,-0.9,-0.2,-0.10%,0.20%,-0.30%,0.08,-1.40%,-8.2,-0.8,0.95,-10.5,2.38,5,prattni01
533,Jurickson Profar#,30,521,TOT,-13,-1.3,531,-0.7,8.3,-9.1,0.98,-0.8,0,-0.10%,1.40%,-1.60%,0.28,-0.20%,-8.8,-0.8,0.92,-12.1,2.51,8,profaju01
534,Jurickson Profar#,30,472,COL,-14.2,-1.4,481,-0.7,7.2,-7.9,0.95,-1,0.2,-0.10%,1.40%,-1.50%,0.31,0.00%,-10.6,-1,0.91,-14.1,1.95,5,profaju01
535,Jurickson Profar#,30,49,SDP,1.2,0.1,50,0,1.1,-1.2,1.22,0.2,-0.2,0.00%,0.00%,0.00%,0.02,-0.20%,1.9,0.2,1.01,2,3.44,3,profaju01
536,Juniel Querecuto#,30,21,STL,-3.3,-0.3,21,-0.4,0.2,-0.5,1.12,-0.3,-0.1,0.00%,0.00%,0.00%,0,,-3.9,-0.4,1.02,-3.9,,0,quereju01
537,Ceddanne Rafaela,22,89,BOS,-2.6,-0.3,93,-1.2,1.3,-2.5,1.26,-0.3,-0.7,0.00%,0.10%,-0.10%,0.1,-0.20%,-7.5,-0.7,0.96,-4.2,0.67,5,rafaece01
538,Cal Raleigh#,26,569,SEA,7.5,0.7,578,-0.2,10.6,-10.9,1.03,1,-1.2,-0.30%,8.10%,-8.50%,1.33,-0.80%,5.9,0.6,0.98,8.6,1.59,17,raleica01
539,Luke Raley*,28,406,TBR,13,1.3,426,2.2,8.6,-6.4,0.95,1.9,0.4,1.20%,5.30%,-4.00%,0.99,0.20%,12.1,1.2,0.92,17.5,1.83,11,raleylu01
540,Harold Ramírez,28,434,TBR,13.6,1.3,448,0.5,7.9,-7.4,0.98,0.9,-0.3,0.20%,4.80%,-4.60%,1.03,-0.40%,15.2,1.5,0.96,14,2.48,21,ramirha02
541,José Ramírez#,30,691,CLE,26.9,2.6,735,3.3,15.6,-12.3,1.12,1.8,1.1,1.30%,6.50%,-5.20%,0.79,0.40%,13.5,1.3,0.95,20.6,,0,ramirjo01
542,Heliot Ramos,23,60,SFG,-4.1,-0.4,62,-0.6,0.6,-1.3,1.04,-0.5,-0.2,-0.20%,0.40%,-0.60%,0.88,-0.10%,-4.3,-0.4,0.98,-3.9,2.95,5,ramoshe02
543,Henry Ramos#,31,86,CIN,-1.8,-0.2,90,-1.2,1.5,-2.7,1.39,-0.2,-0.7,-0.70%,0.60%,-1.30%,1.06,-0.50%,-5.9,-0.6,0.99,-3.8,3.14,3,ramoshe01
544,J.T. Realmuto,32,540,PHI,3.6,0.3,568,-1.7,9.4,-11.1,1.09,0.4,-1.9,-1.00%,4.50%,-5.60%,0.9,-1.40%,-6.7,-0.7,0.96,0.8,1.71,4,realmjt01
545,Rob Refsnyder,32,243,BOS,-2.2,-0.2,254,-0.4,4.5,-4.9,1.12,-0.1,-0.2,-0.20%,1.80%,-2.10%,0.78,-0.20%,0,0,0.99,-1.1,1.66,24,refsnro01
546,Zach Remillard,29,160,CHW,-6.6,-0.7,169,0.7,3.6,-3,1.18,-0.6,1.1,0.20%,0.50%,-0.30%,0.21,1.00%,-3.6,-0.4,1.01,-8.4,0.94,3,remilza01
547,Anthony Rendon,33,183,LAA,-0.9,-0.1,185,0.1,3.3,-3.1,1.13,0,0.1,0.10%,2.20%,-2.00%,1.23,0.10%,0.2,0,1,-0.2,1.44,1,rendoan01
548,Hunter Renfroe,31,548,TOT,-6.5,-0.6,554,-1.6,9.9,-11.5,1.11,-1.5,0.1,-1.00%,5.40%,-6.40%,1.02,0.00%,-16.4,-1.6,0.97,-15,1.9,12,renfrhu01
549,Hunter Renfroe,31,504,LAA,-1.8,-0.2,510,-1.2,9.5,-10.6,1.11,-1.1,0,-0.70%,5.00%,-5.70%,0.99,0.00%,-11.8,-1.1,0.98,-10,1.6,8,renfrhu01
